Timestamp,Tipo,Título,Autores,Fecha,¿Quién introduce la información?,Venue,Publisher,"Otros metadatos editoriales (e.j, volumen, páginas, etc.) ",Resumen (100-250 palabras),URL,Datos adicionales de interés,"Confirmo que la información aportada es correcta y lo más completa posible, y que estoy facultado para proveerla."
6/25/2022 11:39:08,Libro,Análisis Matemático Real. Ejercicios y Problemas,"Sofía Behar Jequín
Rita Roldán Inguanzo
Armando Arredondo Soto",12/20/2021,Uno de los autores,Libro,Editorial Universitaria,266 páginas,,https://www.eduniv.cu,ISBN 978-959-16-4705-4,Si
6/25/2022 18:07:08,Presentación en congreso (sin artículo),Metrics for the evaluation and generation of school courses,"Mauricio L Perdomo
Fernando Rodriguez Flores",6/2/2022,Uno de los autores,15 th INTERNATIONAL CONFERENCE ON OPERATIONS RESEARCH,,,"Ideally, school courses should have characteristics that encourage student's participation and interaction with the subject. This work proposes a tool to evaluate different characteristics in the courses of the subject Numerical Mathematics taught at the Faculty of Mathematics and Computer Science of the University of Havana. The course is modeled as a game that reflects the teacher/student interactions during the lesson period to carry out these evaluations. Games are simulated, and a set of proposed metrics are used to carry out the evaluation. Also, the feasibility of using genetic algorithms to design courses in an automated way is analyzed.",,,Si
6/25/2022 18:09:35,Presentación en congreso (sin artículo),Symbolic regression for generalized linear models of ODEs,"Fernando Rodriguez Flores
David Guaty Dominguez
Enrique Martínez González
Ernesto Borrego Rodríguez",6/2/2022,Uno de los autores,15 th INTERNATIONAL CONFERENCE ON OPERATIONS RESEARCH,,,"For the study of an infectious disease mathematical models are used. Some of those models are based on ODEs that have the property of being linear with respect to the parameters. Researchers must choose a model that best approximates the observed data from a large number of possibilities. That selection can take a long time. To automate the process of finding such a model, this document presents a  Neural Network Guided Genetic Algorithm that finds the system of ODEs wich are linear with respect to the parameters that best fits the data set. The genetic programming approach explores the candidate systems while the neural network is used to narrow the search space. Performed experiments on three case studies (Lotka-Volterra, SIR, SIRZ) shows the effectiveness of this approach to find the sought model in each case in a short time.",,,Si
6/25/2022 23:57:02,Artículo publicado en journal,Modelos SIR para el seguimiento de la COVID-19 en Cuba.,"Raúl Guinovart Díaz
Isidro Alfredo Abello Ugalde
Wilfredo Morales Lezca
Julián Bravo Castillero
Reinaldo Rodríguez Ramos
David Guinovart Sanjuán",10/31/2020,Uno de los autores,Revista Ciencias Matemáticas,,"Vol. 34, No. 1, 2020 Pag. 1-12","El proceso de predecir el comportamiento de la pandemia en Cuba y el peligro de la ocurrenciade endemias de la COVID-19 es una preocupación del gobierno y epidemiólogos cubanos, poseer modelosmatemáticos que ayuden a la toma de decisiones y conocer alguna métrica que influya en el surgimientode la endemia ha sido de gran utilidad para organizar las medidas de control de la pandemia y del procesode desescalamiento. El objetivo de este trabajo es presentar los modelos dinámicos que ayudaron a simulardiferentes escenarios probables de casos activos, en concordancia con los datos reportados y además conel apoyo de la teoría cualitaiva de ecuaciones diferenciales indicar como el número reproductivo básico R0constituye una métrica que incide en la ocurrencia de la endemia. Los resultados demuestran que bajo ciertascondiciones pueden aparecer rebrotes por lo que es necesario mantener activadas medidas epidemiológicasque ayuden a evitarlos.
The process of predicting the behavior of the pandemic in Cuba and the danger of its occurrence of COVID-19endemics is a concern of the Cuban government and epidemiologists, owning models mathematicians that helpdecision-making and know some metric that influences the emergence of the endemic has been very usefulto organize the control measures of the pandemic and return to normalization. The objective of this work is topresent the dynamic models that helped to simulate different probable scenarios of active cases, in accordancewith the reported data and also with the support of the qualitative theory of differential equations indicate asthe basic reproductive number R0 it constitutes a metric that affects the occurrence of the endemic. The resultsshow that under certain conditions may appear outbreaks so it is necessary to keep activated epidemiologicalmeasures. ",,ISSN: 0256-5374 ,Si
6/28/2022 8:36:10,Libro,Introducción a la Teoría de Números,Rita Roldán Inguanzo,2/2/2022,Uno de los autores,"Publicación digital, ",Editorial Universitaria,"ISBN 978-959-16-4727-6, 309 páginas","El texto que se presenta, pretende ser el material básico para un curso básico de Teoría de Números. Se presupone que el estudiante dispone de ciertos conocimientos básicos, como son los relativos a las propiedades de los números naturales, enteros, racionales y reales, el método de la inducción completa y la teoría de divisibilidad, al igual los conocimientos básicos de las disciplinas de Álgebra y Análisis Matemático. Sin embargo, gran parte del texto también puede ser estudiada por estudiantes interesados de nivel preuniversitario.
En el libro se presentan además algunos de los más interesantes problemas abiertos de la Teoría Aritmética de los Números y se incluye un listado bastante amplio de ejercicios, muchos de los cuales han sido seleccionados de la bibliografía referenciada al final del este texto. Complementa el material la presentación de notas biográficas e históricas que pretenden darle una imagen más vivencial.
",https://www.eduniv.cu,,Si
6/28/2022 8:39:44,Libro,Razonamiento y Lenguaje Matemático,Rita Roldán Inguanzo,2/2/2022,Uno de los autores,Publicación digital,Editorial universitaria,"ISBN 978-959-16-4726-9, 159 páginas","El objetivo de este texto es apoyar a aquellos que se inician en el estudio de la Matemática en el aprendizaje de una forma correcta de expresión y razonamiento que les sirva de base para la mejor comprensión de esta ciencia y ... ¿por qué no? ... de otras materias de las Ciencias Naturales. El texto se estructura en cuatro capítulos dedicados a temas básicos de la Teoría de Conjuntos, relaciones y funciones, la Lógica Matemática (que incluye algunos métodos clásicos de demostración matemática) y la Teoría Combinatoria. Cada capítulo culmina con un listado de ejercicios interesantes que apoyarán el aprendizaje.
Se debe resaltar que éste no constituye un texto de Lógica Matemática o de Teoría
Combinatoria, pues los temas que en él se presentan no se desarrollan con el rigor
ni la formalidad que exige esa ciencia y solamente se pretende servir de puente
en el tránsito de la enseñanza media al nivel superior, sobre todo en lo relativo a
la forma correcta de pensar en la Matemática. Se recomienda al lector que desee
ampliar sus conocimientos, no conformarse con estas breves notas y buscar lecturas especializadas y actualizadas. Para los interesados en la diversión que ofrecen estos temas, se propone al final un listado de problemas de pensamiento lógico, tomados de una revista de entretenimientos.",https://www.eduniv.cu,,Si
6/28/2022 8:42:01,Libro,Teoría de la Medida e Integración,Rita Roldán Inguanzo,3/3/2022,Uno de los autores,Publicación digital,Editorial Universitaria,"ISBN 978-959-16-4764-1, 239 páginas","El texto que se presenta constituye un apoyo bibliográfico al curso “Medida e
Integración” de la carrera de Matemática. Sin embargo, no se limita a las medidas
positivas y extiende su contenido a las medidas complejas. En cada tema se proponen ejercicios que ayudarán al lector en la comprensión total de la teoría. Se estructura en cinco capítulos, de manera que en los dos primeros se desarrolla la teoría de medida e  integración relativa a medidas positivas, el tercer capítulo se dedica a la regularidad de medidas, el cuarto a las medidas complejas, para culminar en un quinto capítulo donde se relaciona la diferenciación de medidas con la integración. Para comprender el texto es necesario tener una buena formación en Análisis Matemático real y complejo y en topología.",https://www.eduniv.cu,,Si
6/28/2022 8:44:20,Libro,Matemática I para especialidades de Ciencias Naturales,"Rita Roldán Inguanzo
Yolanda Hernández Rubio
María Elvira Fernández Sa",3/3/2022,Uno de los autores,Publicación digital,Editorial Universitaria,"ISBN (obra) 978-959-16-4758-0, (tomo I) 978-959-16-4758-7, Tomo I, 297 páginas","En este texto se han escogido problemas y ejercicios de Análisis Matemático, que se refieren a los contenidos de los programas de Matemática de las carreras de Ciencias Naturales que se estudian en nuestros centros de Educación Superior.
Se presta especial atención a aquellos temas, que por ser más importantes, requieren una mayor ejercitación, para lograr un dominio profundo de la materia y desarrollar habilidades necesarias para la creación científico - técnica. En los anexos se expone un resumen de Funciones Elementales y Secciones Cónicas.",https://www.eduniv.cu,,Si
6/28/2022 8:46:25,Libro,Matemática II para Especialidades de Ciencias Naturales,"Rita Roldán Inguanzo
Yolanda Hernández Rubio
Blanca A. Armersto Artiles",3/3/2022,Uno de los autores,Publicación digital,Editorial Universitaria,"ISBN (obra) 978-959-16-4758-0, (tomo I) 978-959-16-4758-3, Tomo II, 171 páginas","En este texto se han escogido problemas y ejercicios de Análisis Matemático, que se refieren a los contenidos de los programas de Matemática de las carreras de Ciencias Naturales que se estudian en nuestros centros de Educación Superior.
Se ha prestado especial atención a aquellos temas que, por ser más importantes,
requieren de una mayor ejercitación. Su importancia radica en el hecho de ser
frecuentemente utilizados en las aplicaciones de la Matemática en estas Ciencias.","ISBN (obra) 978-959-16-4758-0, (tomo I) 978-959-16-4758-3, Tomo II, 171 páginas",,Si
6/28/2022 8:48:38,Libro,Análisis Matemático Real. Ejercicios y Problemas,"Sofía Behar Jequín
Rita Roldán Inguanzo
Armando Arredondo Soto",12/12/2021,Uno de los autores,Publicación digital,Editorial Universitaria,"ISBN 978-959-16-4705-4, 239 páginas","En este libro se propone una colección de ejercicios, elegidos entre los muchos
que se presentan para lograr el correcto aprendizaje de los contenidos impartidos
en los cursos de Análisis Matemático de una variable real, en el primer año de
la Licenciatura en Matemática.
Esta recopilación tiene además el propósito de mostrar en detalle los métodos
de trabajo fundamentales en el estudio de las sucesiones, series numéricas y
funciones reales de variable real, así como la manera en que se integran muchos
de los resultados estudiados, tanto teóricos como prácticos, en su solución.
De ese modo, los ejercicios propuestos no solo coadyuvan a la adquisición de
algoritmos y procedimientos, sino que también favorecen la mejor comprensión
de los conceptos y resultados teóricos de esas asignaturas.",https://www.eduniv.cu,,Si
6/28/2022 13:32:28,Artículo publicado en journal,Construction of Caputo-Fabrizio Fractional Differential Mask for Image Enhancement,"Gustavo Asumu Mboro Nchama
Angela León Mecías
Leandro Daniel Lau Alfonso
Mariano Rodríguez Ricard ",1/20/2021,Uno de los autores,Progress in Fractional Differentiation and Applications,,"Volumen 7, No. 2, 87-96",,https://doi.org/10.18576/pfda/070203 ,,Si
6/28/2022 13:40:23,Artículo publicado en journal,Properties of the Caputo-Fabrizio Fractional Derivatives,"Gustavo Asumu Mboro Nchama
Leandro Daniel Lau Alfonso
Angela M. León Mecías
Mariano Rodríguez Ricard",12/12/2020,Uno de los autores,Applied Mathematics & Information Science,,"Vol. 14, No. 5, 76-769",,https://doi.org/10.18576/amis/140503,,Si
6/29/2022 12:26:26,Presentación en congreso (sin artículo),Matemática y Computación en el arte,Yeneit Delgado Kios,2/17/2022,Uno de los autores,Simposio MEM 2022,,,,,,Si
7/9/2022 7:15:24,Artículo publicado en journal,Prediction of effective properties for multilayered laminated composite with delamination: A multiscale methodology proposal,"D Guinovart-Sanjuan
R Rodríguez-Ram
K Vajraveluos
R Mohapatra
R Guinovart-Díaz
H Brito-Santana
V Tita
FJ Sabina",6/22/2022,Uno de los autores,Composite Structures,Elsevier,volume 297,"In the manuscript, piezoelectric composites with non-uniform imperfect contact at the interface are studied. For this, the two-scales asymptotic homogenization method is used to determine the effective properties of said piezocomposite. First, a theoretical framework is offered to determine the effective properties of piezoelectric materials with generalized periodicity. In addition, a method to solve the local problems for the particular case of stratified media with imperfect contact conditions is described. In the second part, the above-described methodology is used to study different numerical examples and compare the results taking into account distinct contact conditions at the interfaces. Examples include wavy composites with uniform imperfect contact, laminate composite with cracks at the interface, and non-uniform imperfect contact conditions elastic and piezoelectric composites. Also, the influence on the average properties of the small geometrical parameter related to the size of the periodic cell in the homogenization is illustrated. To validate the model, some of the results are compared with the values obtained by the finite elements method (FEM).",,https://doi.org/10.1016/j.compstruct.2022.115910,Si
7/9/2022 7:33:04,Presentación en congreso (sin artículo),Influencia de la vacunación en la evolución de la COVID-19 en Yucatán,"Raúl Guinovart Díaz
Julián Bravo Castillero",6/7/2022,Uno de los autores,Smart City Latam Congress Mérida 2022,,,El objetivo del presente trabajo es ilustrar mediante un ejercicio académico la utilidad del modelado matemático para visualizar posibles escenarios futuros en la evolución de la COVID-19. Los datos usados en los cálculos corresponden al periodo desde el 1º de enero al 2 de junio de 2022 reportados en los comunicados de prensa de la Secretaría de Salud de Yucatán https://www.yucatan.gob.mx/saladeprensa/. El modelo pretende reflejar la influencia de la vacunación y la velocidad de su aplicación en la evolución de la epidemia en el Estado de Yucatán.,https://www.facebook.com/IIMAS/,,Si
9/8/2022 23:29:55,Libro,Ecuaciones Diferenciales Ordinarias y Aplicaciones,Mariano Rodríguez Ricard,2/2/2022,Uno de los autores,EDUNIV,"http://www.eduniv.cu/items/show/40318 , EDUNIV Editorial Universitaria","(xiv, 180 pág.)",,ISBN: 978-959-16-4729-0,,Si
9/8/2022 23:44:25,Artículo publicado en journal,Bifurcations in twinkling patterns for the Lengyel-Epstein reaction-diffusion model,"Julián Sarría González
Ivonne Sgura
Mariano Rodríguez Ricard",3/10/2021,Uno de los autores,International Journal of Bifurcation and Chaos,World Scientific Publishing Company,"Vol. 31, No. 11 (2021) 2150164 (16 pages)","Conditions for the emergence of strong Turing–Hopf instabilities in the Lengyel–Epstein CIMA
reaction–diffusion model are found. Under these conditions, time periodic spatially inhomo-
geneous solutions can be induced by diffusive instability of the spatially homogeneous limit
cycle emerging at a supercritical Bautin–Hopf bifurcation about the unstable steady state of
the reaction system. We report numerical simulations by an Alternating Directions Implicit
(ADI) method that show the formation of twinkling patterns for a chosen parameter value, thus
confirming our theoretical results.",https://doi.org/10.1142/S0218127421501649,,Si
9/8/2022 23:52:35,Artículo publicado en journal,Modeling Covid-19 with a single equation,Celia T. González González,12/7/2020,Uno de los autores,Revista Ciencias Matemáticas,,"Vol.34, No.1, 2020, Pag.33-36","Nuestro interés en este trabajo es la presentación de un modelo de dinámica de epidemia que
consta de una sola ecuación. Se muestra la equivalencia del modelo con los clásicos del tipo SIR. Se destaca
la conveniencia del modelo para una epidemia de la que se conoce el período medio de recuperación. Se
muestra un procedimiento para el ajuste de parámetros de acuerdo a datos dados, y en particular, los que se
consideraron cuando modelamos la epidemia de la Covid-19 en Cuba.",,,Si
9/9/2022 0:01:11,Artículo publicado en proceeding de congreso,MODELACIÓN MATEMÁTICA DEL CRECIMIENTO TUMORAL EN PACIENTES CON GLIOBLASTOMA. EFECTOS DE LAS TERAPIAS CONVENCIONALES Y DE LA INMUNOTERAPIA,"Alejandro Roque Piedra
Mariano Rodríguez Ricard",8/10/2021,Uno de los autores,Compumat 2021,,,"El uso de la modelación matemática para la personalización de las terapias contra el cáncer y para plantear hipótesis de tratamientos con un potencial impacto clínico es un tema de creciente interés dentro de las biomatemáticas y la biotecnología. En esta investigación se analizan varios modelos clásicos que describen el crecimiento natural de un tumor y se selecciona el más adecuado teniendo en cuenta un equilibrio entre precisión y simplicidad. Este modelo se adapta para describir los efectos de las terapias convencionales sobre la evolución del glioblastoma. Los parámetros son ajustados a datos clínicos reales y luego se realizan simulaciones con pacientes virtuales para estudiar el efecto de diferentes esquemas de tratamiento. Por último se analiza la interacción de las células tumorales con el sistema inmune para investigar el efecto de posibles inmunoterapias sobre el crecimiento tumoral, en este caso dichos estudios se realizan con datos de pacientes tratados con nimotuzumab, anticuerpo monoclonal humanizado que actúa contra el EGFR (Epidermal Growth Factor Receptor). Finalmente, se estudia cómo se podrían alterar los esquemas de tratamiento actuales para prolongar el tiempo de vida del paciente y espaciar las dosis de manera que no se afecte su calidad de vida.",,,Si
9/21/2022 13:07:32,Artículo publicado en journal,"Aplicación EGRESO/COVID-19 una forma amigable de recopilar, almacenar y analizar datos de los pacientes ","Gemayqzel Bouza-Allende
Leinier Gutiérrez-González
Roger Rodríguez-Guzmán
Carlos Bermúdez-Porto
Leonel García-López
Roberto Martí-Cedeño  ",8/31/2022,Uno de los autores,"Revista Cubana de Higiene y Epidemiología, 59",,,,,,Si
9/21/2022 13:12:19,Artículo publicado en journal,"Aplicación EGRESO/COVID-19 una forma amigable de recopilar, almacenar y analizar datos de los pacientes","DrC. Gemayqzel Bouza-Allende, Profesor Titular, Universidad de La Habana. https://orcid.org/0000-0003-4457-9360
Lic. Leynier Gutiérrez-González, Universidad de La Habana. https://orcid.org/0000-0001-6393-1679
Dr. Roger Rodríguez-Guzmán, Profesor Asistente, Investigador Agregado, Universidad de Ciencias Médicas de La Habana. https://orcid.org/0000-0002-1430-1272
Lic. Carlos Bermúdez-Porto, Universidad de La Habana. https://orcid.org/0000-0002-5267-0327
Lic. Leonel García-López, Universidad Tecnológica de La Habana. https://orcid.org/0000-0001-9916-2103
Lic. Roberto Martí-Cedeño, Universidad de La Habana. https://orcid.org/0000-0002-7671-4187
",8/31/2022,Uno de los autores,"Revista Cubana de Higiene y Epidemiología, 59",,,,,,Si
9/21/2022 13:39:25,Presentación en congreso (sin artículo),PROCEDURES FOR SCRAMBLING SENSITIVE QUANTITATIVE VARIABLES: AN UPDATED REVIEW,"Carlos N. Bouza-Herrera, Universidad de La Habana
 Pablo O. Juárez-Moreno, Universidad de Guerrero
Agustín Santiago-Moreno, Universidad de Guerrero
José M. Sautto-Vallejo, Universidad de Guerrero",5/3/2022,"Jefe de departamento, vicedecano, u otro cargo facultado",PROCEDURES FOR SCRAMBLING SENSITIVE QUANTITATIVE VARIABLES: AN UPDATED REVIEW/ICOR 2022,,,,,,Si
9/21/2022 13:41:25,Presentación en congreso (sin artículo),STEEPEST DESCENT METHODS FOR DIFFERENT CLASS OF OPTIMIZATION PROBLEMS: AN OVERVIEW,"Gemayzel Bouza Allende, Universidad de La Habana",5/3/2022,Uno de los autores,ICOR 2022,,,,,,Si
9/21/2022 13:42:47,Presentación en congreso (sin artículo),GEOBASE: FIELD SURVEY MOBILE APPLICATION FOR DECISION MAKING,"Aracelys García Armenteros, UH
Joanna Campbell Amos, UH
Sira Allende Alonso, UH
Leonel García López, UH",5/3/2022,"Jefe de departamento, vicedecano, u otro cargo facultado",ICOR 2022,,,,,,Si
